Sample,Family ID,Population,Gender
HG00096,HG00096,GBR,male
HG00097,HG00097,GBR,female
HG00098,HG00098,GBR,male
HG00099,HG00099,GBR,female
HG00100,HG00100,GBR,female
HG00101,HG00101,GBR,male
HG00102,HG00102,GBR,female
HG00103,HG00103,GBR,male
HG00104,HG00104,GBR,female
HG00105,HG00105,GBR,male
HG00106,HG00106,GBR,female
HG00107,HG00107,GBR,male
HG00108,HG00108,GBR,male
HG00109,HG00109,GBR,male
HG00110,HG00110,GBR,female
HG00111,HG00111,GBR,female
HG00112,HG00112,GBR,male
HG00113,HG00113,GBR,male
HG00114,HG00114,GBR,male
HG00115,HG00115,GBR,male
HG00116,HG00116,GBR,male
HG00117,HG00117,GBR,male
HG00118,HG00118,GBR,female
HG00119,HG00119,GBR,male
HG00120,HG00120,GBR,female
HG00121,HG00121,GBR,female
HG00122,HG00122,GBR,female
HG00123,HG00123,GBR,female
HG00124,HG00124,GBR,female
HG00125,HG00125,GBR,female
HG00126,HG00126,GBR,male
HG00127,HG00127,GBR,female
HG00128,HG00128,GBR,female
HG00129,HG00129,GBR,male
HG00130,HG00130,GBR,female
HG00131,HG00131,GBR,male
HG00132,HG00132,GBR,female
HG00133,HG00133,GBR,female
HG00134,HG00134,GBR,female
HG00135,HG00135,GBR,female
HG00136,HG00136,GBR,male
HG00137,HG00137,GBR,female
HG00138,HG00138,GBR,male
HG00139,HG00139,GBR,male
HG00140,HG00140,GBR,male
HG00141,HG00141,GBR,male
HG00142,HG00142,GBR,male
HG00143,HG00143,GBR,male
HG00144,GBR001,GBR,female
HG00145,HG00145,GBR,male
HG00146,GBR002,GBR,female
HG00147,GBR002a,GBR,female
HG00148,HG00148,GBR,male
HG00149,HG00149,GBR,male
HG00150,HG00150,GBR,female
HG00151,HG00151,GBR,male
HG00152,HG00152,GBR,male
HG00153,GBR003,GBR,female
HG00154,HG00154,GBR,female
HG00155,GBR001,GBR,male
HG00156,HG00156,GBR,male
HG00157,HG00157,GBR,male
HG00158,GBR003,GBR,female
HG00159,HG00159,GBR,male
HG00160,HG00160,GBR,male
HG00171,HG00171,FIN,female
HG00173,HG00173,FIN,female
HG00174,HG00174,FIN,female
HG00176,HG00176,FIN,female
HG00177,HG00177,FIN,female
HG00178,HG00178,FIN,female
HG00179,HG00179,FIN,female
HG00180,HG00180,FIN,female
HG00181,HG00181,FIN,male
HG00182,HG00182,FIN,male
HG00183,HG00183,FIN,male
HG00185,HG00185,FIN,male
HG00186,HG00186,FIN,male
HG00187,HG00187,FIN,male
HG00188,HG00188,FIN,male
HG00189,HG00189,FIN,male
HG00190,HG00190,FIN,male
HG00231,HG00231,GBR,female
HG00232,HG00232,GBR,female
HG00233,HG00233,GBR,female
HG00234,HG00234,GBR,male
HG00235,HG00235,GBR,female
HG00236,HG00236,GBR,female
HG00237,HG00237,GBR,female
HG00238,HG00238,GBR,female
HG00239,HG00239,GBR,female
HG00240,HG00240,GBR,female
HG00242,HG00242,GBR,male
HG00243,HG00243,GBR,male
HG00244,HG00244,GBR,male
HG00245,HG00245,GBR,female
HG00246,HG00246,GBR,male
HG00247,GBR004,GBR,female
HG00248,GBR004,GBR,female
HG00249,HG00249,GBR,female
HG00250,HG00250,GBR,female
HG00251,HG00251,GBR,male
HG00252,HG00252,GBR,male
HG00253,HG00253,GBR,female
HG00254,HG00254,GBR,female
HG00255,HG00255,GBR,female
HG00256,HG00256,GBR,male
HG00257,HG00257,GBR,female
HG00258,HG00258,GBR,female
HG00259,HG00259,GBR,female
HG00260,HG00260,GBR,male
HG00261,HG00261,GBR,female
HG00262,HG00262,GBR,female
HG00263,HG00263,GBR,female
HG00264,HG00264,GBR,male
HG00265,HG00265,GBR,male
HG00266,HG00266,FIN,female
HG00267,HG00267,FIN,male
HG00268,HG00268,FIN,female
HG00269,HG00269,FIN,female
HG00270,HG00270,FIN,female
HG00271,HG00271,FIN,male
HG00272,HG00272,FIN,female
HG00273,HG00273,FIN,male
HG00274,HG00274,FIN,female
HG00275,HG00275,FIN,female
HG00276,HG00276,FIN,female
HG00277,HG00277,FIN,male
HG00278,HG00278,FIN,male
HG00280,HG00280,FIN,male
HG00281,HG00281,FIN,female
HG00282,HG00282,FIN,female
HG00284,HG00284,FIN,male
HG00285,HG00285,FIN,female
HG00288,HG00288,FIN,female
HG00290,HG00290,FIN,male
HG00302,HG00302,FIN,female
HG00303,HG00303,FIN,male
HG00304,HG00304,FIN,female
HG00306,HG00306,FIN,female
HG00308,HG00308,FIN,male
HG00309,HG00309,FIN,female
HG00310,HG00310,FIN,male
HG00311,HG00311,FIN,male
HG00312,HG00312,FIN,male
HG00313,HG00313,FIN,female
HG00315,HG00315,FIN,female
HG00318,HG00318,FIN,female
HG00319,HG00319,FIN,female
HG00320,HG00320,FIN,female
HG00321,HG00321,FIN,male
HG00323,HG00323,FIN,female
HG00324,HG00324,FIN,female
HG00325,HG00325,FIN,male
HG00326,HG00326,FIN,female
HG00327,HG00327,FIN,female
HG00328,HG00328,FIN,female
HG00329,HG00329,FIN,male
HG00330,HG00330,FIN,female
HG00331,HG00331,FIN,female
HG00332,HG00332,FIN,female
HG00334,HG00334,FIN,female
HG00335,HG00335,FIN,male
HG00336,HG00336,FIN,male
HG00337,HG00337,FIN,female
HG00338,HG00338,FIN,male
HG00339,HG00339,FIN,female
HG00341,HG00341,FIN,male
HG00342,HG00342,FIN,male
HG00343,HG00343,FIN,female
HG00344,HG00344,FIN,female
HG00345,HG00345,FIN,male
HG00346,HG00346,FIN,female
HG00349,HG00349,FIN,female
HG00350,HG00350,FIN,female
HG00351,HG00351,FIN,male
HG00353,HG00353,FIN,female
HG00355,HG00355,FIN,female
HG00356,HG00356,FIN,female
HG00357,HG00357,FIN,female
HG00358,HG00358,FIN,male
HG00359,HG00359,FIN,female
HG00360,HG00360,FIN,male
HG00361,HG00361,FIN,female
HG00362,HG00362,FIN,female
HG00364,HG00364,FIN,female
HG00365,HG00365,FIN,female
HG00366,HG00366,FIN,male
HG00367,HG00367,FIN,female
HG00368,HG00368,FIN,female
HG00369,HG00369,FIN,male
HG00371,HG00371,FIN,male
HG00372,HG00372,FIN,male
HG00373,HG00373,FIN,female
HG00375,HG00375,FIN,male
HG00376,HG00376,FIN,female
HG00377,HG00377,FIN,female
HG00378,HG00378,FIN,female
HG00379,HG00379,FIN,female
HG00380,HG00380,FIN,female
HG00381,HG00381,FIN,female
HG00382,HG00382,FIN,male
HG00383,HG00383,FIN,female
HG00384,HG00384,FIN,female
HG00403,SH001,CHS,male
HG00404,SH001,CHS,female
HG00405,SH001,CHS,female
HG00406,SH002,CHS,male
HG00407,SH002,CHS,female
HG00408,SH002,CHS,female
HG00409,SH003,CHS,male
HG00410,SH003,CHS,female
HG00411,SH003,CHS,male
HG00418,SH006,CHS,male
HG00419,SH006,CHS,female
HG00420,SH006,CHS,male
HG00421,SH007,CHS,male
HG00422,SH007,CHS,female
HG00423,SH007,CHS,female
HG00427,SH009,CHS,male
HG00428,SH009,CHS,female
HG00429,SH009,CHS,male
HG00436,SH012,CHS,male
HG00437,SH012,CHS,female
HG00438,SH012,CHS,female
HG00442,SH014,CHS,male
HG00443,SH014,CHS,female
HG00444,SH014,CHS,male
HG00445,SH015,CHS,male
HG00446,SH015,CHS,female
HG00447,SH015,CHS,female
HG00448,SH016,CHS,male
HG00449,SH016,CHS,female
HG00450,SH016,CHS,female
HG00451,SH017,CHS,male
HG00452,SH017,CHS,female
HG00453,SH017,CHS,female
HG00457,SH019,CHS,male
HG00458,SH019,CHS,female
HG00459,SH019,CHS,male
HG00463,SH021,CHS,male
HG00464,SH021,CHS,female
HG00465,SH021,CHS,male
HG00472,SH024,CHS,male
HG00473,SH024,CHS,female
HG00474,SH024,CHS,male
HG00475,SH025,CHS,male
HG00476,SH025,CHS,female
HG00477,SH025,CHS,male
HG00478,SH026,CHS,male
HG00479,SH026,CHS,female
HG00480,SH026,CHS,male
HG00500,SH028,CHS,male
HG00501,SH028,CHS,female
HG00502,SH028,CHS,male
HG00512,SH032,CHS,male
HG00513,SH032,CHS,female
HG00514,SH032,CHS,female
HG00524,SH036,CHS,male
HG00525,SH036,CHS,female
HG00526,SH036,CHS,male
HG00530,SH038,CHS,male
HG00531,SH038,CHS,female
HG00532,SH038,CHS,male
HG00533,SH039,CHS,male
HG00534,SH039,CHS,female
HG00535,SH039,CHS,male
HG00536,SH040,CHS,male
HG00537,SH040,CHS,female
HG00538,SH040,CHS,male
HG00542,SH042,CHS,male
HG00543,SH042,CHS,female
HG00544,SH042,CHS,female
HG00551,PR01,PUR,female
HG00552,PR01,PUR,male
HG00553,PR02,PUR,male
HG00554,PR02,PUR,female
HG00555,PR02,PUR,female
HG00556,SH045,CHS,male
HG00557,SH045,CHS,female
HG00558,SH045,CHS,female
HG00559,SH046,CHS,male
HG00560,SH046,CHS,female
HG00561,SH046,CHS,female
HG00565,SH048,CHS,male
HG00566,SH048,CHS,female
HG00567,SH048,CHS,male
HG00577,SH052,CHS,male
HG00578,SH052,CHS,female
HG00579,SH052,CHS,female
HG00580,SH053,CHS,male
HG00581,SH053,CHS,female
HG00582,SH053,CHS,female
HG00583,SH054,CHS,male
HG00584,SH054,CHS,female
HG00585,SH054,CHS,female
HG00589,SH056,CHS,male
HG00590,SH056,CHS,female
HG00591,SH056,CHS,male
HG00592,SH057,CHS,male
HG00593,SH057,CHS,female
HG00594,SH057,CHS,male
HG00595,SH058,CHS,male
HG00596,SH058,CHS,female
HG00597,SH058,CHS,female
HG00598,SH059,CHS,male
HG00599,SH059,CHS,female
HG00600,SH059,CHS,female
HG00607,SH062,CHS,male
HG00608,SH062,CHS,female
HG00609,SH062,CHS,male
HG00610,SH063,CHS,male
HG00611,SH063,CHS,female
HG00612,SH063,CHS,female
HG00613,SH064,CHS,male
HG00614,SH064,CHS,female
HG00615,SH064,CHS,female
HG00619,SH066,CHS,male
HG00620,SH066,CHS,female
HG00621,SH066,CHS,male
HG00622,SH067,CHS,male
HG00623,SH067,CHS,female
HG00624,SH067,CHS,male
HG00625,SH068,CHS,male
HG00626,SH068,CHS,female
HG00627,SH068,CHS,male
HG00628,SH069,CHS,male
HG00629,SH069,CHS,female
HG00630,SH069,CHS,male
HG00631,SH070,CHS,male
HG00632,SH070,CHS,female
HG00633,SH070,CHS,male
HG00634,SH071,CHS,male
HG00635,SH071,CHS,female
HG00636,SH071,CHS,male
HG00637,PR03,PUR,male
HG00638,PR03,PUR,female
HG00639,PR03,PUR,female
HG00640,PR04,PUR,male
HG00641,PR04,PUR,female
HG00642,PR04,PUR,male
HG00650,SH072,CHS,male
HG00651,SH072,CHS,female
HG00652,SH072,CHS,female
HG00653,SH073,CHS,male
HG00654,SH073,CHS,female
HG00655,SH073,CHS,female
HG00656,SH074,CHS,male
HG00657,SH074,CHS,female
HG00658,SH074,CHS,male
HG00662,SH076,CHS,male
HG00663,SH076,CHS,female
HG00664,SH076,CHS,male
HG00671,SH079,CHS,male
HG00672,SH079,CHS,female
HG00673,SH079,CHS,male
HG00674,SH080,CHS,male
HG00675,SH080,CHS,female
HG00676,SH080,CHS,male
HG00683,SH083,CHS,male
HG00684,SH083,CHS,female
HG00685,SH083,CHS,male
HG00689,SH085,CHS,male
HG00690,SH085,CHS,female
HG00691,SH085,CHS,male
HG00692,SH086,CHS,male
HG00693,SH086,CHS,female
HG00694,SH086,CHS,male
HG00698,SH088,CHS,male
HG00699,SH088,CHS,female
HG00700,SH088,CHS,female
HG00701,SH089,CHS,male
HG00702,SH089,CHS,female
HG00703,SH089,CHS,male
HG00704,SH090,CHS,male
HG00705,SH090,CHS,female
HG00706,SH090,CHS,male
HG00707,SH091,CHS,male
HG00708,SH091,CHS,female
HG00709,SH091,CHS,male
HG00716,SH094,CHS,male
HG00717,SH094,CHS,female
HG00718,SH094,CHS,male
HG00728,SH098,CHS,male
HG00729,SH098,CHS,female
HG00730,SH098,CHS,female
HG00731,PR05,PUR,male
HG00732,PR05,PUR,female
HG00733,PR05,PUR,female
HG00734,PR06,PUR,female
HG00735,PR06,PUR,female
HG00736,PR07,PUR,male
HG00737,PR07,PUR,female
HG00738,PR07,PUR,male
HG00739,PR09,PUR,male
HG00740,PR09,PUR,female
HG00741,PR09,PUR,female
HG00742,PR10,PUR,male
HG00743,PR10,PUR,female
HG00759,HG00759,CDX,female
HG00766,HG00766,CDX,female
HG00844,HG00844,CDX,male
HG00851,HG00851,CDX,female
HG00864,HG00864,CDX,female
HG00866,CDX1,CDX,male
HG00867,CDX1,CDX,female
HG00879,HG00879,CDX,female
HG00881,HG00881,CDX,male
HG00956,HG00956,CDX,female
HG00978,HG00978,CDX,female
HG00982,HG00982,CDX,male
HG00983,HG00983,CDX,male
HG01028,HG01028,CDX,male
HG01029,HG01029,CDX,female
HG01031,HG01031,CDX,male
HG01046,HG01046,CDX,female
HG01047,PR06,PUR,male
HG01048,PR08,PUR,male
HG01049,PR08,PUR,female
HG01050,PR08,PUR,female
HG01051,PR11,PUR,male
HG01052,PR11,PUR,female
HG01053,PR11,PUR,female
HG01054,PR12,PUR,male
HG01055,PR12,PUR,female
HG01056,PR12,PUR,male
HG01058,PR13,PUR,female
HG01060,PR14,PUR,male
HG01061,PR14,PUR,female
HG01062,PR14,PUR,female
HG01063,PR15,PUR,male
HG01064,PR15,PUR,female
HG01066,PR16,PUR,male
HG01067,PR16,PUR,female
HG01068,PR16,PUR,female
HG01069,PR17,PUR,male
HG01070,PR17,PUR,female
HG01071,PR17,PUR,female
HG01072,PR18,PUR,male
HG01073,PR18,PUR,female
HG01074,PR18,PUR,male
HG01075,PR01,PUR,male
HG01077,PR20,PUR,female
HG01079,PR21,PUR,male
HG01080,PR21,PUR,female
HG01081,PR21,PUR,female
HG01082,PR28,PUR,male
HG01083,PR28,PUR,female
HG01084,PR28,PUR,female
HG01085,PR26,PUR,male
HG01086,PR26,PUR,female
HG01087,PR26,PUR,female
HG01088,PR27,PUR,male
HG01089,PR27,PUR,female
HG01090,PR27,PUR,male
HG01092,PR30,PUR,female
HG01094,PR29,PUR,male
HG01095,PR29,PUR,female
HG01096,PR29,PUR,male
HG01097,PR31,PUR,male
HG01098,PR31,PUR,female
HG01099,PR31,PUR,male
HG01100,PR32,PUR,female
HG01101,PR19,PUR,male
HG01102,PR19,PUR,female
HG01103,PR19,PUR,female
HG01104,PR25,PUR,male
HG01105,PR25,PUR,female
HG01106,PR25,PUR,male
HG01107,PR33,PUR,male
HG01108,PR33,PUR,female
HG01109,PR33,PUR,male
HG01110,PR34,PUR,male
HG01111,PR34,PUR,female
HG01112,CLM03,CLM,male
HG01113,CLM03,CLM,female
HG01114,CLM03,CLM,female
HG01119,CLM01,CLM,female
HG01121,CLM02,CLM,male
HG01122,CLM02,CLM,female
HG01123,CLM02,CLM,female
HG01124,CLM04,CLM,male
HG01125,CLM04,CLM,female
HG01126,CLM04,CLM,male
HG01130,CLM06,CLM,male
HG01131,CLM06,CLM,female
HG01133,CLM07,CLM,male
HG01134,CLM07,CLM,female
HG01135,CLM07,CLM,male
HG01136,CLM08,CLM,male
HG01137,CLM08,CLM,female
HG01138,CLM08,CLM,male
HG01139,CLM09,CLM,male
HG01140,CLM09,CLM,female
HG01141,CLM09,CLM,female
HG01142,CLM10,CLM,male
HG01148,CLM12,CLM,male
HG01149,CLM12,CLM,female
HG01150,CLM12,CLM,female
HG01161,PR35,PUR,male
HG01162,PR35,PUR,female
HG01164,PR37,PUR,male
HG01167,PR39,PUR,male
HG01168,PR39,PUR,female
HG01169,PR39,PUR,female
HG01170,PR24,PUR,male
HG01171,PR24,PUR,female
HG01172,PR24,PUR,male
HG01173,PR36,PUR,male
HG01174,PR36,PUR,female
HG01175,PR36,PUR,female
HG01176,PR42,PUR,male
HG01177,PR42,PUR,female
HG01178,PR42,PUR,male
HG01182,PR44,PUR,male
HG01183,PR44,PUR,female
HG01184,PR44,PUR,female
HG01187,PR38,PUR,male
HG01188,PR38,PUR,female
HG01189,PR38,PUR,male
HG01190,PR40,PUR,male
HG01191,PR40,PUR,female
HG01192,PR40,PUR,male
HG01195,PR45,PUR,female
HG01197,PR46,PUR,male
HG01198,PR46,PUR,female
HG01199,PR46,PUR,male
HG01200,PR47,PUR,male
HG01204,PR49,PUR,male
HG01205,PR49,PUR,female
HG01206,PR49,PUR,male
HG01241,PR22,PUR,male
HG01242,PR22,PUR,female
HG01243,PR22,PUR,male
HG01247,PR32,PUR,male
HG01248,PR32,PUR,female
HG01249,PR34,PUR,female
HG01250,CLM14,CLM,male
HG01251,CLM14,CLM,female
HG01252,CLM14,CLM,male
HG01253,CLM15,CLM,male
HG01254,CLM15,CLM,female
HG01255,CLM15,CLM,male
HG01256,CLM16,CLM,male
HG01257,CLM16,CLM,female
HG01258,CLM16,CLM,male
HG01259,CLM17,CLM,male
HG01260,CLM17,CLM,female
HG01261,CLM17,CLM,male
HG01269,CLM20,CLM,female
HG01271,CLM21,CLM,male
HG01272,CLM21,CLM,female
HG01273,CLM21,CLM,male
HG01274,CLM22,CLM,male
HG01275,CLM22,CLM,female
HG01276,CLM22,CLM,female
HG01277,CLM23,CLM,male
HG01278,CLM23,CLM,female
HG01279,CLM23,CLM,female
HG01280,CLM24,CLM,male
HG01281,CLM24,CLM,female
HG01284,CLM25,CLM,female
HG01286,PR58,PUR,male
HG01301,PR59,PUR,female
HG01302,PR59,PUR,male
HG01303,PR59,PUR,female
HG01305,PR61,PUR,male
HG01308,PR62,PUR,male
HG01311,PR63,PUR,male
HG01312,PR63,PUR,female
HG01322,PR67,PUR,male
HG01323,PR67,PUR,female
HG01324,PR67,PUR,female
HG01325,PR68,PUR,male
HG01326,PR68,PUR,female
HG01327,PR68,PUR,male
HG01334,HG01334,GBR,male
HG01341,CLM26,CLM,male
HG01342,CLM26,CLM,female
HG01343,CLM26,CLM,female
HG01344,CLM27,CLM,male
HG01345,CLM27,CLM,female
HG01346,CLM27,CLM,female
HG01347,CLM28,CLM,male
HG01348,CLM28,CLM,female
HG01349,CLM28,CLM,female
HG01350,CLM29,CLM,male
HG01351,CLM29,CLM,female
HG01352,CLM29,CLM,female
HG01353,CLM30,CLM,male
HG01354,CLM30,CLM,female
HG01355,CLM30,CLM,female
HG01356,CLM31,CLM,male
HG01357,CLM31,CLM,female
HG01358,CLM31,CLM,male
HG01359,CLM32,CLM,male
HG01360,CLM32,CLM,female
HG01361,CLM32,CLM,female
HG01362,CLM33,CLM,male
HG01363,CLM33,CLM,female
HG01364,CLM33,CLM,female
HG01365,CLM34,CLM,male
HG01366,CLM34,CLM,female
HG01367,CLM34,CLM,female
HG01369,CLM35,CLM,female
HG01372,CLM36,CLM,female
HG01374,CLM37,CLM,male
HG01375,CLM37,CLM,female
HG01376,CLM37,CLM,female
HG01377,CLM38,CLM,male
HG01378,CLM38,CLM,female
HG01379,CLM38,CLM,female
HG01383,CLM40,CLM,male
HG01384,CLM40,CLM,female
HG01385,CLM40,CLM,female
HG01389,CLM42,CLM,male
HG01390,CLM42,CLM,female
HG01391,CLM42,CLM,female
HG01392,PR70,PUR,male
HG01393,PR70,PUR,female
HG01394,PR70,PUR,female
HG01395,PR71,PUR,male
HG01396,PR71,PUR,female
HG01397,PR71,PUR,female
HG01398,PR72,PUR,male
HG01402,PR74,PUR,male
HG01403,PR74,PUR,female
HG01404,PR74,PUR,female
HG01405,PR75,PUR,male
HG01411,PR63,PUR,male
HG01412,PR76,PUR,male
HG01413,PR78,PUR,male
HG01414,PR78,PUR,female
HG01415,PR78,PUR,female
HG01431,CLM43,CLM,male
HG01432,CLM43,CLM,female
HG01433,CLM43,CLM,male
HG01435,CLM44,CLM,female
HG01437,CLM45,CLM,male
HG01438,CLM45,CLM,female
HG01439,CLM45,CLM,female
HG01440,CLM46a,CLM,male
HG01441,CLM46,CLM,female
HG01442,CLM46,CLM,male
HG01443,CLM47,CLM,male
HG01444,CLM47,CLM,female
HG01445,CLM47,CLM,male
HG01447,CLM48,CLM,female
HG01452,CLM50,CLM,male
HG01453,CLM50,CLM,female
HG01454,CLM50,CLM,female
HG01455,CLM51,CLM,male
HG01456,CLM51,CLM,female
HG01457,CLM51,CLM,male
HG01459,CLM52,CLM,female
HG01461,CLM53,CLM,male
HG01462,CLM53,CLM,female
HG01463,CLM53,CLM,female
HG01464,CLM54,CLM,male
HG01465,CLM54,CLM,female
HG01466,CLM54,CLM,female
HG01468,CLM55,CLM,female
HG01471,CLM56,CLM,female
HG01473,CLM57,CLM,male
HG01474,CLM57,CLM,female
HG01477,CLM58,CLM,female
HG01479,CLM59,CLM,male
HG01480,CLM59,CLM,female
HG01481,CLM59,CLM,female
HG01482,CLM60,CLM,male
HG01483,CLM60,CLM,female
HG01484,CLM60,CLM,female
HG01485,CLM61,CLM,male
HG01486,CLM61,CLM,female
HG01487,CLM61,CLM,female
HG01488,CLM62,CLM,male
HG01489,CLM62,CLM,female
HG01490,CLM62,CLM,female
HG01491,CLM63,CLM,male
HG01492,CLM63,CLM,female
HG01493,CLM63,CLM,female
HG01494,CLM64,CLM,male
HG01495,CLM64,CLM,female
HG01496,CLM64,CLM,female
HG01497,CLM65,CLM,male
HG01498,CLM65,CLM,female
HG01499,CLM65,CLM,male
HG01500,IBS001,IBS,male
HG01501,IBS001,IBS,female
